Name,Population,Latitude,Longitude
Batangas,2908494,13.7567,121.0584
Cavite,4344829,14.2456,120.8786
Laguna,3382193,14.1407,121.4692
Quezon,"1,950,459",13.9347,121.9473
Lucena,"278,924",13.9414,121.6234
Rizal,3330143,14.6037,121.3084
Manila,"1,846,513",14.5995,120.9842
Mandaluyong,"425,758",14.5794,121.0359
Marikina,"456,059",14.6507,121.1029
Pasig,"803,159",14.5764,121.0851
Quezon City,"2,960,048",14.676,121.0437
San Juan City,"126,347",14.6019,121.0355
Caloocan,"1,661,584",14.7566,121.045
Malabon,"380,522",14.6681,120.9658
Navotas,"247,543",14.6732,120.935
Valenzuela City,"714,978",14.7011,120.983
Las Piñas,"606,293",14.4445,120.9939
Makati,"629,616",14.5547,121.0244
Muntinlupa,"543,445",14.4081,121.0415
Parañaque,"689,992",14.4793,121.0198
Pasay,"440,656",14.5378,121.0014
Pateros,"65,227",14.5454,121.0687
Taguig,"886,722",14.5176,121.0509
Abra,"250,985",17.5951,120.7983
Apayao,"124,366",18.012,121.171
Benguet,"460,683",16.5577,120.8039
Baguio,"366,358",16.4023,120.596
Ifugao,"207,498",16.8331,121.171
Kalinga,"229,570",17.474,121.3542
Mountain Province,"158,200",17.0663,121.0335
Ilocos Norte,"609,588",18.1647,120.7116
Ilocos Sur,"706,009",17.2279,120.574
La Union,"822,352",16.6159,120.3209
Pangasinan,"3,163,190",15.8949,120.2863
Batanes,"18,831",20.4485,121.9708
Cagayan,"1,268,603",18.249,121.8788
Isabela,"1,697,050",16.9754,121.8107
Nueva Vizcaya,"497,432",16.3301,121.171
Quirino,"203,828",16.27,121.537
Aurora,"235,750",16.0774,121.7693
Bataan,"853,373",14.6417,120.4818
Bulacan,"3,708,890",14.9968,121.171
Nueva Ecija,"2,310,134",15.5784,121.1113
Pampanga,"2,437,709",15.0794,120.62
Angeles City,"462,928",15.145,120.5887
Tarlac,"1,503,456",15.4755,120.5963
Zambales,"649,615",15.5082,119.9698
Olongapo,"260,317",14.8386,120.2842
Marinduque,"239,207",13.4767,121.9032
Occidental Mindoro,"525,354",13.1024,120.7651
Oriental Mindoro,"908,339",13.0565,121.4069
Palawan,"939,594",9.8349,118.7384
Puerto Princesa,"307,079",9.7638,118.7473
Romblon,"308,985",12.5779,122.2691
Albay,"1,374,768",13.1775,123.528
Camarines Norte,"629,699",14.139,122.7633
Camarines Sur,"2,068,244",13.525,123.3486
Catanduanes,"271,879",13.7089,124.2422
Masbate,"908,920",12.306,123.5589
Sorsogon,"828,655",12.9927,124.0147
Aklan,"615,475",11.8166,122.0942
Antique,"612,974",11.3806,122.0635
Capiz,"804,952",11.3889,122.6277
Guimaras,"187,842",10.5929,122.6325
Iloilo,"2,051,899",11.005,122.5373
Iloilo City,"457,626",10.7202,122.5621
Negros Occidental,"2,623,172",10.2477,122.9888
Bacolod,"600,783",10.6713,122.9511
Bohol,"1,394,329",9.85,124.1435
Cebu,"3,325,385",10.3157,123.8854
Cebu City,"964,169",10.31672,123.89071
Lapu-Lapu City,"497,604",10.3168,123.965
Mandaue,"364,116",10.3321,123.9357
Negros Oriental,"1,432,990",9.6282,122.9888
Siquijor,"103,395",9.2133,123.5157
Biliran,"179,312",11.5106,124.4974
Eastern Samar,"477,168",11.5001,125.5
Leyte,"1,776,847",11.3497,124.4642
Tacloban,"251,881",11.2543,124.9617
Northern Samar,"639,186",12.3613,124.7741
Samar,793183,11.5795,124.9748
Southern Leyte,"429,573",10.3346,125.1709
Zamboanga del Norte,"1,047,455",8.3886,123.1689
Zamboanga del Sur,"1,050,668",7.8383,123.2967
Zamboanga City,"977,234",6.9214,122.079
Zamboanga Sibugay,"669,840",7.5225,122.3108
"Isabela, Basilan","130,379",6.7029,121.969
Bukidnon,"1,541,308",8.0515,124.923
Camiguin,"92,808",9.2423,124.7351
Lanao del Norte,"722,902",7.8722,123.8858
Iligan,"363,115",8.228,124.2452
Misamis Occidental,"617,333",8.3375,123.7071
Misamis Oriental,"956,900",8.5046,124.622
Cagayan de Oro,"728,402",8.4803,124.6498
Davao de Oro,"767,547",7.5125,126.1763
Davao del Norte,"1,125,057",7.5618,125.6533
Davao del Sur,"680,481",6.7663,125.3284
Davao City,"1,776,949",7.0736,125.611
Davao Occidental,"317,159",6.0941,125.6095
Davao Oriental,"576,343",7.3172,126.542
Cotabato,"1,490,618",7.2047,124.231
Sarangani,"558,946",5.9267,124.9948
South Cotabato,"975,476",6.3358,124.7741
General Santos,"697,315",6.1164,125.1716
Sultan Kudarat,"854,052",6.5069,124.4198
Cotabato City,"325,079",7.21666667,124.25
Agusan del Norte,"387,503",8.9456,125.5319
Butuan,"372,910",8.9475,125.5406
Agusan del Sur,"739,367",8.0464,126.0615
Dinagat Islands,"128,117",10.1282,125.6095
Surigao del Norte,"534,636",9.5148,125.697
Surigao del Sur,"642,255",8.5405,126.1145
Basilan,"426,207",6.4296,121.987
Lanao del Sur,"1,195,518",7.8232,124.4198
Maguindanao,"1,342,179",6.9423,124.4198
Sulu,"1,000,108",5.9749,121.0335
Tawi-Tawi,"440,276",5.1338,119.9509
