Name,Population,Latitude,Longitude
Manila,1846513.00,14.5995,120.9842
Mandaluyong,425758.00,14.5794,121.0359
Marikina,456059.00,14.6507,121.1029
Pasig,803159.00,14.5764,121.0851
Quezon City,2960048.00,14.676,121.0437
San Juan City,126347.00,14.6019,121.0355
Caloocan,1661584.00,14.7566,121.045
Malabon,380522.00,14.6681,120.9658
Navotas,247543.00,14.6732,120.935
Valenzuela City,714978.00,14.7011,120.983
Las Piñas,606293.00,14.4445,120.9939
Makati,629616.00,14.5547,121.0244
Muntinlupa,543445.00,14.4081,121.0415
Parañaque,689992.00,14.4793,121.0198
Pasay,440656.00,14.5378,121.0014
Pateros,65227.00,14.5454,121.0687
Taguig,886722.00,14.5176,121.0509
